"product_id","product_title","product_level","product_type","travel_day","product_price","departure_code","des_city_code","toursim_tickets_type"
"210017419","<宁波-四明山2日游>宿艾亚兰海海景酒店含早（可自选升级入住国际品牌希尔顿） 海上传奇海影城、象山海滨、打卡网红玻璃栈道","4","Y002","2天1晚","329","310000","330200","03001"
"210017441","<扬州瘦西湖-镇江2日游>名城扬州 千年一眼西津度  瘦西湖 东关街 镇江西津渡 门票全含 扬州1晚品质商务酒店","4","Y002","2天1晚","289","310000","321100","03001"
"210017460","<张家界森林公园-天门山玻璃栈道汽车3日游>长沙19点出发直达张家界  宿1晚碧桂园凤凰酒店  含百龙天梯 尝三下锅  纯玩0购物","5","Y002","3天2晚","1301","430100","430800","03001"
"210017465","<皖南-宏村2日游>指定宿5ZUAN沃阁驿墅宏村水墨里度假酒店（2种房型自选，无需攻略，远离尘嚣），含宏村大门票，夏季畅想0购慵懒假期","4","Y002","2天1晚","378","320100","341000","03001"
"210017483","<临沂竹泉村-地下大峡谷-萤火虫水洞2日游>清幽古村落，神秘萤火虫","5","Y002","2天1晚","261","370200","371300","03001"
"210017495","<沂水-天上王城-地下大峡谷-萤火虫水洞大巴2日游>浪漫萤火虫，奇观大峡谷，观马战表演","5","Y002","2天1晚","261","370200","371300","03001"
"210017503","<浙西-大明山2日游>含龙井峡激情刺激皮筏漂流、太湖源挑战5D玻璃吊桥、宿市区经济型酒店 含1早2正餐 可自选三渡悬崖玻璃漂流","5","Y002","2天1晚","399","310000","330100","03001"
"210017509","<普陀山3日半自助游>含往返上海至普陀山景区车位及大门票，宿岛上客栈（含双早）2天跟团1天自由","4","Y002","3天2晚","488","310000","330900","03001"
"210017580","<浙西-临安2日游>（打卡刺激龙井峡激情皮筏漂流、大龙湾、游大明山全含）自选新晋网红三渡玻璃悬崖漂流，宿精品酒店 含自助早餐","4","Y002","2天1晚","319","310000","330100","03001"
"210017690","<常州天目湖2日游>南山竹海 船游山水园 宿锦江都城度假酒店和溧阳华府智选假日酒店或悦霖精品酒店 含早餐和1次鱼头汤正餐","4","Y002","2天1晚","463","310000","320400","03001"
"210017694","<老君山巴士2日游>伏牛第一峰  中鼎云涌 十里画屏","5","Y002","2天1晚","238","410300","410300","03001"
"210017698","<广州长隆2日游>野生动物园、欢乐世界、两日玩足两园（1米以上儿童选择升级方案）","5","Y002","2天1晚","881","440300","440100","03001"
"210017815","<五台山2日游>餐住双升级   牛人专线 礼拜智慧文殊 参观宝华寺弥足珍贵 含五爷祈福金卡一张","5","Y002","2天1晚","218","110000","140900","03001"
"210017837","<千岛湖2日游>宿千岛湖半岛度假酒店 含68元自助早免费泳池 含城中湖游船1小时  森林氧吧 门票全含 无购物","4","Y002","2天1晚","399","310000","330100","03001"
"210017860","<安吉大竹海-藏龙百瀑-浙北大峡谷2日游>首道门票全含，宿经济酒店","4","Y002","2天1晚","296","310000","330500","03001"
"210017897","<安徽九华山2日跟团游>缤纷夏日 1人起订 巴士往返 宿山上四星酒店一晚 临明清古街 毗邻化城寺遥望百岁宫 含1自助双早、门票景交 领佛珠","4","Y002","2天1晚","798","310000","341700","03001"
"210017914","<江西3日游>含双早 猛士五龙源漂流开漂   世遗三清山，（欢乐颂）拍摄地篁岭 两晚连宿同一家舒适酒店  无购物省时省心游","4","Y002","3天2晚","678","310000","361100","03001"
"210017939","<嵊泗列岛+基湖沙滩3日游>离岛微城慢生活 享受蓝天大海 近基湖沙滩住宿 沙滩漫步   环岛探奇游","5","Y002","3天2晚","728","330100","330900","03001"
"210017995","<千岛湖-新安江玉温泉-森林氧吧半自助3日游>宿1晚五星千岛湖开元度假村湖景房1晚温泉度假村 爸爸哪儿新叶古村/千岛湖激情皮筏漂流/水乐园 篝火晚会","5","Y002","3天2晚","989","310000","330100","03001"
"210018010","<九华山观光礼佛2日游>精选山上农家民宿，巴士直达，含九华山大门票、景交，领开光佛珠","5","Y002","2天1晚","477","310000","341700","03001"
"210018056","<浙西-临安2日游>（打卡刺激龙井峡激情皮筏漂流、大龙湾、游大明山门票全含） 新晋网红三渡玻璃悬崖漂流，宿山脚下新式农家乐，含1早2正餐","5","Y002","2天1晚","288","310000","330100","03001"
"210018059","[中秋]<黄山2日游>占床含山上早餐，可升级住宿指定光明顶，纯玩0购物，玩不一样的黄山，含自家制作高山野茶或祁门红茶","4","Y002","2天1晚","478","320100","341000","03001"
"210018095","<南京中山陵-夫子庙老门东-玄武湖2日游>宿五星度假村近梅花山/南京博物馆，畅游总统府/1912民国街/中山陵/夫子庙/老门东，含特色金陵16味","4","Y002","2天1晚","399","310000","320100","03001"
"210018096","<苏州-乌镇-杭州3日游>深度纯玩，专车专导，宿乌镇，赏西栅日夜全景，一天一座城，精选5A双园林，含西湖游船，万人出游，3年高销量","5","Y002","3天2晚","599","310000","330400","03001"
"210018099","<浙西-大明山2日游>网红三渡悬崖激情/龙井峡皮筏漂流自选、宿临安市区五星交通皇冠假日/临安君亭大酒店 含68元丰盛自助早餐","5","Y002","2天1晚","499","310000","330100","03001"
"210018200","<杭州-千岛湖中心湖区2日游>纯玩  宿四星海外海假日酒店 游精华5个岛屿 登梅峰岛 游森林氧吧 乘观光游艇游湖 全程畅玩","4","Y002","2天1晚","648","330100","330100","03001"
"210018212","<五台山2日游>朝拜明月胜境，观看前世今生，转山转水转佛塔，不为来生，只为途中与你相见","5","Y002","2天1晚","185","120000","140900","03001"
"210018235","<桐庐2日游>含富春江小三峡 瑶琳仙境 大奇山 天目溪竹筏漂流 含全程价值406元门票 宿中心商务酒店  潇洒桐庐","4","Y002","2天1晚","308","310000","330100","03001"
"210018316","<黄山3日游>两晚宿黄山复华丽朗度假村 不用挪窝 两天自由安排 家庭团队全方位沉浸式度假体验","5","Y002","3天2晚","928","341000","341000","03001"
"210018399","<婺源-三清山巴士跟团3日游>登高远眺云雾三清山，两晚连宿一家酒店 ，诗礼人家瑶湾，游四季晒秋篁岭 ，纯玩无购物","5","Y002","3天2晚","538","310000","361100","03001"
"210018413","<普陀山2日游>游四大寺登佛顶山，牛人小包团，团友6至12人，宿天竺山庄，含早餐","5","Y002","2天1晚","840","320500","330900","03001"
"210018425","<普陀山2日游>牛人小包团，人数不超过12人，宿普陀山锦江之星，含普陀门票 香花卷 小交通 船票","4","Y002","2天1晚","818","320200","330900","03001"
"210018426","<浙西-大明山2日游>含龙井峡激情皮筏漂流、太湖源避暑挑战5D玻璃吊桥，宿市区四星远东/琪欣大酒店享自助早餐，另含2顿临安特色正餐，惊险刺激无比","4","Y002","2天1晚","529","310000","330100","03001"
"210018529","<临安-浙西2日游>网红高山玻璃滑道（浙西大明山 华东大裂谷 南极皮筏漂流）激情冲浪嗨翻天 门票全含0购物 宿商务可升级","5","Y002","2天1晚","334","320100","330100","03001"
"210018584","<浙江嘉兴西塘-乌镇2日游>宿乌镇直营酒店（含1早1晚餐），可多次入园，深度纯玩，忆江南，双水乡古镇日夜全景新玩法","5","Y002","2天1晚","499","310000","330400","03001"
"210018614","<上海迪士尼乐园2日游>纯玩无购物，赏灯光烟火秀，含二次入园门票，宿商务酒店，美丽城堡，儿童乐园","5","Y002","2天1晚","1278","320100","310000","03001"
